Title,Artist(s),Album,Duration (ms),Track URL
Beach,Mother Nature Sounds,We Sleep - Nature Sounds and White Noise for Toddlers and Babys As Lullabies and Nursery Rhymes for Sleep At Night,599000,https://open.spotify.com/track/4TfVjxSmNkrg6ry5GSGUl8
Beach Waves,Nature Sounds Nature Music,"Nature Sounds - Nature Music for Sleep, Yoga and Relaxation",301131,https://open.spotify.com/track/0d9qxVyTrQD739koA54DQu
White Noise Ocean Waves,White! Noise,White Noise,599041,https://open.spotify.com/track/4yZGyHqUD5sux4qWELidOo
Mountain Rain,Crain & Taylor,Help Your Baby Sleep Through the Night,598563,https://open.spotify.com/track/3uHhBGofzSPSlpiqVZBs0H
Canopy Sounds: Birds,Sounds of Nature for Deep Sleep and Relaxation,"Nature Sounds, Vol. 1",301573,https://open.spotify.com/track/3BVKbFohwXd702iS5AnRMs
Forest Rain With Birds,Relax Meditate Sleep,Soothing Sounds of Nature,379586,https://open.spotify.com/track/6PZ62cLD8pUCO1bIYhPfCm
Relaxing Rain,Music Medicine MM,Meditation Music,590028,https://open.spotify.com/track/5tnncAsSTMpeTXiTCOrPOu
The Babbling Brook - Scotland,White Noise Research,White Noise for Exam Study: Sound Masking & Relaxation Collection for Increased Concentration,598331,https://open.spotify.com/track/3zRJuE9g0QBdFcGSD76x33
Bosco & Uccelli,Mns Musica Natura,Suoni Della Natura,597369,https://open.spotify.com/track/4QkxAAjmcAYXHodQ5AlAD8
Piccoli uccellini,Suono degli Uccelli,"Suoni degli uccelli – Uccelli tropicali, suono e canto dell'usignolo, uccelli del bosco",255999,https://open.spotify.com/track/4HQyM46C7ThSVPHWpmyVQd
Cinguettio rilassante,Suono degli Uccelli,"Suoni degli uccelli – Uccelli tropicali, suono e canto dell'usignolo, uccelli del bosco",239000,https://open.spotify.com/track/7JeWpLbiqBKRIREs4ST9N7
Musica di rilassamento con uccelli,Suono degli Uccelli,"Suoni degli uccelli – Uccelli tropicali, suono e canto dell'usignolo, uccelli del bosco",363999,https://open.spotify.com/track/3gB08mj1TQ10ZVscOk2pLv
Oltre le nuvole (suono rilassante di uccelli),Suono degli Uccelli,"Suoni degli uccelli – Uccelli tropicali, suono e canto dell'usignolo, uccelli del bosco",228264,https://open.spotify.com/track/02B2oznQjB0348imueo9NE
Suoni degli uccelli,Suono degli Uccelli,"Suoni degli uccelli – Uccelli tropicali, suono e canto dell'usignolo, uccelli del bosco",232000,https://open.spotify.com/track/7DgBYMtGQ6ETAvkAQyHmqg
Piccoli volatili,Suono degli Uccelli,"Suoni degli uccelli – Uccelli tropicali, suono e canto dell'usignolo, uccelli del bosco",235000,https://open.spotify.com/track/350i53w2zJ2ye7gJmYNBm5
Forest Sounds,Forest Sounds,Forest Ambience Nature Sounds,221853,https://open.spotify.com/track/49vFr1gfxI02psYbHuWu6c
Forest Afternoon,Forest Soundscapes,Forest Soundscapes,224922,https://open.spotify.com/track/7Derl4cxLo47HI1RD0spCS
Suburban Forest Rain 2,Aquagirl,Suburban Forest Rain,129000,https://open.spotify.com/track/0rtT2DmXIcwqpcXVrX6C7V
Ambient Woods,Outside HD Samples,Forest Sounds For Relaxation,128918,https://open.spotify.com/track/3UaXmGGrnybMEdNe5rh941
"The Sound Of The Jungle With Coloured Birds For Relaxation, Sleeping, Studying",Life Sounds Nature,"The Very Best Sound Of Nature - Birds, Waves, Rain (With Forest, Creek, Wind, Thunder)",93009,https://open.spotify.com/track/61SiFnjiY36uVSTBVXK5Yw
